timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl,security
2025-04-14 10:05:14,sell,2.99,65000,0,-65000,0,ADNOCGAS
2025-04-14 10:05:14,buy,2.99,65000,0,0,0,ADNOCGAS
2025-04-14 10:08:23,buy,2.99,8000,0,8000,0,ADNOCGAS
2025-04-14 10:09:39,buy,2.99,24000,0,32000,0,ADNOCGAS
2025-04-14 10:16:20,sell,2.99,100,0,31900,0,ADNOCGAS
2025-04-14 10:16:20,sell,2.99,19264,0,12636,0,ADNOCGAS
2025-04-14 10:16:40,sell,2.99,15000,0,-2364,0,ADNOCGAS
2025-04-14 10:18:22,sell,2.99,6240,0,-8604,0,ADNOCGAS
2025-04-14 10:18:31,sell,2.99,6700,0,-15304,0,ADNOCGAS
2025-04-14 10:23:46,sell,2.98,3351,0,-18655,0,ADNOCGAS
2025-04-14 10:24:02,sell,2.98,6240,0,-24895,0,ADNOCGAS
2025-04-14 10:24:04,sell,2.98,3352,0,-28247,0,ADNOCGAS
2025-04-14 10:24:36,sell,2.98,103,0,-28350,0,ADNOCGAS
2025-04-14 10:25:03,sell,2.98,30000,0,-58350,0,ADNOCGAS
2025-04-14 10:25:07,sell,2.98,50,0,-58400,0,ADNOCGAS
2025-04-14 10:25:08,sell,2.98,500,0,-58900,0,ADNOCGAS
2025-04-14 10:25:10,sell,2.98,150,0,-59050,0,ADNOCGAS
2025-04-14 10:25:51,sell,2.98,3351,0,-62401,0,ADNOCGAS
2025-04-14 10:26:12,sell,2.98,3351,0,-65752,0,ADNOCGAS
2025-04-14 10:26:15,sell,2.98,14552,0,-80304,0,ADNOCGAS
2025-04-14 10:32:58,buy,2.98,253,0,-80051,0,ADNOCGAS
2025-04-14 10:32:58,buy,2.98,50000,95,-30051,96,ADNOCGAS
2025-04-14 10:32:58,buy,2.98,12746,24,-17305,120,ADNOCGAS
2025-04-14 10:34:54,buy,2.98,500,1,-16805,121,ADNOCGAS
2025-04-14 10:36:08,buy,2.98,1,0,-16804,121,ADNOCGAS
2025-04-14 10:39:50,buy,2.98,499,1,-16305,122,ADNOCGAS
2025-04-14 10:39:50,buy,2.98,10000,19,-6305,141,ADNOCGAS
2025-04-14 10:39:50,buy,2.98,15000,12,8695,153,ADNOCGAS
2025-04-14 10:39:50,buy,2.98,39501,0,48196,153,ADNOCGAS
2025-04-14 10:41:14,sell,2.98,13037,0,35159,153,ADNOCGAS
2025-04-14 10:41:14,sell,2.98,14296,0,20863,153,ADNOCGAS
2025-04-14 10:41:14,sell,2.98,14264,0,6599,153,ADNOCGAS
2025-04-14 10:41:14,sell,2.98,10295,0,-3696,153,ADNOCGAS
2025-04-14 10:41:14,sell,2.98,13108,0,-16804,153,ADNOCGAS
2025-04-14 10:41:19,buy,2.98,6630,0,-10174,153,ADNOCGAS
2025-04-14 10:46:06,buy,2.98,40975,0,30801,153,ADNOCGAS
2025-04-14 10:49:36,buy,2.98,112,0,30913,153,ADNOCGAS
2025-04-14 10:51:34,buy,2.98,7931,0,38844,153,ADNOCGAS
2025-04-14 10:52:52,buy,2.98,2000,0,40844,153,ADNOCGAS
2025-04-14 10:54:25,buy,2.98,729,0,41573,153,ADNOCGAS
2025-04-14 10:54:49,buy,2.98,64271,0,105844,153,ADNOCGAS
2025-04-14 10:59:25,buy,2.99,24156,0,130000,153,ADNOCGAS
2025-04-14 11:00:10,sell,2.99,65000,529,65000,682,ADNOCGAS
2025-04-14 11:04:47,buy,2.99,2086,0,67086,682,ADNOCGAS
2025-04-14 11:06:42,buy,2.99,3000,0,70086,682,ADNOCGAS
2025-04-14 11:08:09,buy,2.99,500,0,70586,682,ADNOCGAS
2025-04-14 11:09:36,sell,3.0,8718,153,61868,835,ADNOCGAS
2025-04-14 11:11:50,buy,3.0,248,0,62116,835,ADNOCGAS
2025-04-14 11:11:50,buy,3.0,64752,0,126868,835,ADNOCGAS
2025-04-14 11:14:50,buy,3.02,3132,0,130000,835,ADNOCGAS
2025-04-14 11:15:25,sell,3.02,65000,1810,65000,2645,ADNOCGAS
2025-04-14 11:17:47,sell,3.02,65000,1810,0,4455,ADNOCGAS
2025-04-14 11:17:55,buy,3.02,27549,0,27549,4455,ADNOCGAS
2025-04-14 11:22:35,sell,3.03,50000,275,-22451,4730,ADNOCGAS
2025-04-14 11:22:35,sell,3.03,15000,0,-37451,4730,ADNOCGAS
2025-04-14 11:22:39,buy,3.03,9886,0,-27565,4730,ADNOCGAS
2025-04-14 11:22:44,buy,3.03,55114,0,27549,4730,ADNOCGAS
2025-04-14 11:24:13,sell,3.03,65000,0,-37451,4730,ADNOCGAS
2025-04-14 11:25:01,buy,3.03,23948,0,-13503,4730,ADNOCGAS
2025-04-14 11:25:01,buy,3.03,13636,0,133,4730,ADNOCGAS
2025-04-14 11:25:01,buy,3.03,4041,0,4174,4730,ADNOCGAS
