timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:00:00,sell,7.89,3000,0,-3000,0
2025-04-14 10:00:31,buy,7.88,1084,11,-1916,11
2025-04-14 10:00:31,buy,7.88,1916,19,0,30
2025-04-14 10:01:56,buy,7.88,3000,0,3000,30
2025-04-14 10:03:11,sell,7.88,3000,0,0,30
2025-04-14 10:05:45,buy,7.89,1256,0,1256,30
2025-04-14 10:05:46,buy,7.89,1744,0,3000,30
2025-04-14 10:06:06,sell,7.9,3000,30,0,60
2025-04-14 10:08:01,buy,7.88,2181,0,2181,60
2025-04-14 10:10:18,buy,7.88,500,0,2681,60
2025-04-14 10:10:23,sell,7.9,3000,54,-319,114
2025-04-14 10:10:24,buy,7.91,2044,-3,1725,110
2025-04-14 10:10:24,buy,7.9,456,0,2181,110
2025-04-14 10:11:59,buy,7.9,1127,0,3308,110
2025-04-14 10:12:07,buy,7.91,1765,0,5073,110
2025-04-14 10:12:07,buy,7.91,108,0,5181,110
2025-04-14 10:12:50,buy,7.9,819,0,6000,110
2025-04-14 10:13:57,sell,7.9,3000,-18,3000,92
2025-04-14 10:14:12,buy,7.9,2520,0,5520,92
2025-04-14 10:15:25,sell,7.9,3000,-10,2520,83
2025-04-14 10:15:31,buy,7.9,1765,0,4285,83
2025-04-14 10:15:46,buy,7.92,1235,0,5520,83
2025-04-14 10:16:04,sell,7.92,3000,42,2520,125
2025-04-14 10:17:04,sell,7.92,3000,35,-480,160
2025-04-14 10:18:15,buy,7.92,2222,0,1742,160
2025-04-14 10:18:15,buy,7.92,778,0,2520,160
2025-04-14 10:18:51,sell,7.92,3000,0,-480,160
2025-04-14 10:18:55,buy,7.93,3000,-5,2520,155
2025-04-14 10:19:57,sell,7.9,3000,-76,-480,80
2025-04-14 10:26:18,buy,7.88,1124,10,644,89
2025-04-14 10:26:21,buy,7.88,1876,0,2520,89
2025-04-14 10:28:31,buy,7.85,3000,0,5520,89
2025-04-14 10:30:33,sell,7.85,3000,-41,2520,48
2025-04-14 10:31:43,buy,7.85,2155,0,4675,48
2025-04-14 10:31:43,buy,7.85,845,0,5520,48
2025-04-14 10:33:03,buy,7.84,480,0,6000,48
2025-04-14 10:33:03,sell,7.85,394,-2,5606,46
2025-04-14 10:33:03,sell,7.85,2606,-13,3000,33
2025-04-14 10:35:47,buy,7.84,3000,0,6000,33
2025-04-14 10:35:55,sell,7.84,3000,-22,3000,11
2025-04-14 10:36:36,sell,7.86,2000,25,1000,36
2025-04-14 10:39:36,buy,7.85,2230,0,3230,36
2025-04-14 10:39:36,buy,7.85,770,0,4000,36
